,date,rank,track_title,track_artist,wks_on_chart,peaks
1479,august-19-2023,40,Boy's a liar,PinkPantheress,24,6
1480,august-12-2023,1,Calm Down,Rema & Selena Gomez,36,1
1481,august-12-2023,2,Karma,Taylor Swift,13,1
1482,august-12-2023,3,Cruel Summer,Taylor Swift,6,3
1483,august-12-2023,4,Sure Thing,Miguel,22,1
1484,august-12-2023,5,Last Night,Morgan Wallen,21,4
1485,august-12-2023,6,Dance The Night (From Barbie The Album),Dua Lipa,9,6
1486,august-12-2023,7,Flowers,Miley Cyrus,28,1
1487,august-12-2023,8,Cupid,FIFTY FIFTY,11,8
1488,august-12-2023,9,vampire,Olivia Rodrigo,4,9
1489,august-12-2023,10,Snooze,SZA,12,10
1490,august-12-2023,11,Creepin',"Metro Boomin, The Weeknd & 21 Savage",31,2
1491,august-12-2023,12,Fast Car,Luke Combs,11,12
1492,august-12-2023,13,Baby Don't Hurt Me,David Guetta & Anne-Marie & Coi Leray,14,13
1493,august-12-2023,14,Jaded,Miley Cyrus,14,14
1494,august-12-2023,15,Eyes Closed,Ed Sheeran,18,6
1495,august-12-2023,16,All My Life,Lil Durk feat. J. Cole,7,16
1496,august-12-2023,17,Mourning,Post Malone,11,17
1497,august-12-2023,18,Kill Bill,SZA,29,1
1498,august-12-2023,19,Hell N Back,Bakar,8,19
1499,august-12-2023,20,Chemical,Post Malone,15,6
1500,august-12-2023,21,Mona Lisa,Dominic Fike,3,21
1501,august-12-2023,22,Die For You,The Weeknd,45,1
1502,august-12-2023,23,VOID,Melanie Martinez,11,23
1503,august-12-2023,24,Satellite,Harry Styles,9,24
1504,august-12-2023,25,Favorite Song,Toosii,17,11
1505,august-12-2023,26,JUMPIN,Pitbull & Lil Jon,8,26
1506,august-12-2023,27,Popular,"The Weeknd, Playboi Carti & Madonna",5,27
1507,august-12-2023,28,Seven (feat. Latto),"Jung Kook, Latto",2,28
1508,august-12-2023,29,Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Ice Spice & Aqua",2,29
1509,august-12-2023,30,RUNAWAY,OneRepublic,5,30
1510,august-12-2023,31,What A Night,Flo Rida,8,29
1511,august-12-2023,32,What It Is (Block Boy),Doechii feat. Kodak Black,2,32
1512,august-12-2023,33,Summer Baby,Jonas Brothers,7,33
1513,august-12-2023,34,Lavender Haze,Taylor Swift,34,5
1514,august-12-2023,35,Daylight,David Kushner,2,35
1515,august-12-2023,36,K-POP,"Travis Scott, Bad Bunny & The Weeknd",1,36
1516,august-12-2023,37,Players,Coi Leray,27,8
1517,august-12-2023,38,Keep Dat,iCandy,1,38
1518,august-12-2023,39,Boy's a liar,PinkPantheress,23,6
1519,august-12-2023,40,Calling,"Metro Boomin, Swae Lee & NAV feat. A Boogie wit da Hoodie",1,40
1520,august-5-2023,1,Karma,Taylor Swift,12,1
1521,august-5-2023,2,Calm Down,Rema & Selena Gomez,35,1
1522,august-5-2023,3,Sure Thing,Miguel,21,1
1523,august-5-2023,4,Last Night,Morgan Wallen,20,4
1524,august-5-2023,5,Cruel Summer,Taylor Swift,5,5
1525,august-5-2023,6,Flowers,Miley Cyrus,27,1
1526,august-5-2023,7,Eyes Closed,Ed Sheeran,17,6
1527,august-5-2023,8,Dance The Night (From Barbie The Album),Dua Lipa,8,8
1528,august-5-2023,9,Cupid,FIFTY FIFTY,10,9
1529,august-5-2023,10,Creepin',"Metro Boomin, The Weeknd & 21 Savage",30,2
1530,august-5-2023,11,vampire,Olivia Rodrigo,3,11
1531,august-5-2023,12,Snooze,SZA,11,12
1532,august-5-2023,13,Kill Bill,SZA,28,1
1533,august-5-2023,14,Baby Don't Hurt Me,David Guetta & Anne-Marie & Coi Leray,13,14
1534,august-5-2023,15,Fast Car,Luke Combs,10,15
1535,august-5-2023,16,Jaded,Miley Cyrus,13,14
1536,august-5-2023,17,Mourning,Post Malone,10,17
1537,august-5-2023,18,All My Life,Lil Durk feat. J. Cole,6,18
1538,august-5-2023,19,Chemical,Post Malone,14,6
1539,august-5-2023,20,Die For You,The Weeknd,44,1
1540,august-5-2023,21,Hell N Back,Bakar,7,21
1541,august-5-2023,22,Waffle House,Jonas Brothers,15,12
1542,august-5-2023,23,Favorite Song,Toosii,16,11
1543,august-5-2023,24,VOID,Melanie Martinez,10,23
1544,august-5-2023,25,Satellite,Harry Styles,8,25
1545,august-5-2023,26,JUMPIN,Pitbull & Lil Jon,7,26
1546,august-5-2023,27,Popular,"The Weeknd, Playboi Carti & Madonna",4,27
1547,august-5-2023,28,Mona Lisa,Dominic Fike,2,28
1548,august-5-2023,29,What A Night,Flo Rida,7,29
1549,august-5-2023,30,RUNAWAY,OneRepublic,4,30
1550,august-5-2023,31,Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Ice Spice & Aqua",1,31
1551,august-5-2023,32,Lavender Haze,Taylor Swift,33,5
1552,august-5-2023,33,Seven (feat. Latto),"Jung Kook, Latto",1,33
1553,august-5-2023,34,Summer Baby,Jonas Brothers,6,34
1554,august-5-2023,35,What It Is (Block Boy),Doechii feat. Kodak Black,1,35
1555,august-5-2023,36,Players,Coi Leray,26,8
1556,august-5-2023,37,Daylight,David Kushner,1,37
1557,august-5-2023,38,Boy's a liar,PinkPantheress,22,6
1558,august-5-2023,39,HAPPY,NF,14,13
1559,august-5-2023,40,Escapism.,RAYE feat. 070 Shake,27,6
1560,july-29-2023,1,Karma,Taylor Swift,11,1
1561,july-29-2023,2,Calm Down,Rema & Selena Gomez,34,1
1562,july-29-2023,3,Sure Thing,Miguel,20,1
1563,july-29-2023,4,Flowers,Miley Cyrus,26,1
1564,july-29-2023,5,Last Night,Morgan Wallen,19,5
1565,july-29-2023,6,Eyes Closed,Ed Sheeran,16,6
1566,july-29-2023,7,Creepin',"Metro Boomin, The Weeknd & 21 Savage",29,2
1567,july-29-2023,8,Dance The Night (From Barbie The Album),Dua Lipa,7,8
1568,july-29-2023,9,Cupid,FIFTY FIFTY,9,9
1569,july-29-2023,10,Kill Bill,SZA,27,1
1570,july-29-2023,11,Cruel Summer,Taylor Swift,4,11
1571,july-29-2023,12,Snooze,SZA,10,12
1572,july-29-2023,13,Favorite Song,Toosii,15,11
1573,july-29-2023,14,vampire,Olivia Rodrigo,2,14
1574,july-29-2023,15,Waffle House,Jonas Brothers,14,12
1575,july-29-2023,16,Chemical,Post Malone,13,6
1576,july-29-2023,17,Baby Don't Hurt Me,David Guetta & Anne-Marie & Coi Leray,12,16
1577,july-29-2023,18,Jaded,Miley Cyrus,12,14
1578,july-29-2023,19,Die For You,The Weeknd,43,1
1579,july-29-2023,20,Fast Car,Luke Combs,9,20
1580,july-29-2023,21,Mourning,Post Malone,9,19
1581,july-29-2023,22,All My Life,Lil Durk feat. J. Cole,5,22
1582,july-29-2023,23,VOID,Melanie Martinez,9,23
1583,july-29-2023,24,Praising You (feat. Fatboy Slim),,10,22
1584,july-29-2023,25,Hell N Back,Bakar,6,25
1585,july-29-2023,26,Satellite,Harry Styles,7,25
1586,july-29-2023,27,TRUSTFALL,P!nk,14,19
1587,july-29-2023,28,JUMPIN,Pitbull & Lil Jon,6,27
1588,july-29-2023,29,HAPPY,NF,13,13
1589,july-29-2023,30,Popular,"The Weeknd, Playboi Carti & Madonna",3,30
1590,july-29-2023,31,Lavender Haze,Taylor Swift,32,5
1591,july-29-2023,32,What A Night,Flo Rida,6,32
1592,july-29-2023,33,RUNAWAY,OneRepublic,3,33
1593,july-29-2023,34,Summer Baby,Jonas Brothers,5,34
1594,july-29-2023,35,Players,Coi Leray,25,8
1595,july-29-2023,36,Angel Pt. 1,"Jimin feat. Kodak Black, NLE Choppa, JVKE, Muni Long",3,36
1596,july-29-2023,37,Boy's a liar,PinkPantheress,21,6
1597,july-29-2023,38,Mona Lisa,Dominic Fike,1,38
1598,july-29-2023,39,Escapism.,RAYE feat. 070 Shake,26,6
1599,july-29-2023,40,I'm Good (Blue),David Guetta & Bebe Rexha,42,1
1600,july-22-2023,1,Karma,Taylor Swift,10,1
1601,july-22-2023,2,Calm Down,Rema & Selena Gomez,33,1
1602,july-22-2023,3,Sure Thing,Miguel,19,1
1603,july-22-2023,4,Flowers,Miley Cyrus,25,1
1604,july-22-2023,5,Last Night,Morgan Wallen,18,5
1605,july-22-2023,6,Creepin',"Metro Boomin, The Weeknd & 21 Savage",28,2
1606,july-22-2023,7,Eyes Closed,Ed Sheeran,15,7
1607,july-22-2023,8,Dance The Night (From Barbie The Album),Dua Lipa,6,8
1608,july-22-2023,9,Kill Bill,SZA,26,1
1609,july-22-2023,10,Cupid,FIFTY FIFTY,8,10
1610,july-22-2023,11,Favorite Song,Toosii,14,11
1611,july-22-2023,12,Chemical,Post Malone,12,6
1612,july-22-2023,13,Cruel Summer,Taylor Swift,3,13
1613,july-22-2023,14,Waffle House,Jonas Brothers,13,12
1614,july-22-2023,15,Snooze,SZA,9,15
1615,july-22-2023,16,Die For You,The Weeknd,42,1
1616,july-22-2023,17,vampire,Olivia Rodrigo,1,17
1617,july-22-2023,18,Jaded,Miley Cyrus,11,14
1618,july-22-2023,19,Baby Don't Hurt Me,David Guetta & Anne-Marie & Coi Leray,11,16
1619,july-22-2023,20,HAPPY,NF,12,13
1620,july-22-2023,21,Fast Car,Luke Combs,8,21
1621,july-22-2023,22,Mourning,Post Malone,8,19
1622,july-22-2023,23,All My Life,Lil Durk feat. J. Cole,4,23
1623,july-22-2023,24,Praising You (feat. Fatboy Slim),,9,22
1624,july-22-2023,25,VOID,Melanie Martinez,8,24
1625,july-22-2023,26,TRUSTFALL,P!nk,13,19
1626,july-22-2023,27,Satellite,Harry Styles,6,25
1627,july-22-2023,28,Hell N Back,Bakar,5,28
1628,july-22-2023,29,Lavender Haze,Taylor Swift,31,5
1629,july-22-2023,30,JUMPIN,Pitbull & Lil Jon,5,27
1630,july-22-2023,31,Boy's a liar,PinkPantheress,20,6
1631,july-22-2023,32,Popular,"The Weeknd, Playboi Carti & Madonna",2,32
1632,july-22-2023,33,Players,Coi Leray,24,8
1633,july-22-2023,34,What A Night,Flo Rida,5,32
1634,july-22-2023,35,RUNAWAY,OneRepublic,2,35
1635,july-22-2023,36,Summer Baby,Jonas Brothers,4,35
1636,july-22-2023,37,Escapism.,RAYE feat. 070 Shake,25,6
1637,july-22-2023,38,Angel Pt. 1,"Jimin feat. Kodak Black, NLE Choppa, JVKE, Muni Long",2,38
1638,july-22-2023,39,I know it won't work,Gracie Abrams,4,36
1639,july-22-2023,40,I'm Good (Blue),David Guetta & Bebe Rexha,41,1
1640,july-15-2023,1,Sure Thing,Miguel,18,1
1641,july-15-2023,2,Karma,Taylor Swift,9,2
1642,july-15-2023,3,Calm Down,Rema & Selena Gomez,32,1
1643,july-15-2023,4,Flowers,Miley Cyrus,24,1
1644,july-15-2023,5,Creepin',"Metro Boomin, The Weeknd & 21 Savage",27,2
1645,july-15-2023,6,Last Night,Morgan Wallen,17,6
1646,july-15-2023,7,Chemical,Post Malone,11,6
1647,july-15-2023,8,Eyes Closed,Ed Sheeran,14,8
1648,july-15-2023,9,Dance The Night (From Barbie The Album),Dua Lipa,5,9
1649,july-15-2023,10,Kill Bill,SZA,25,1
1650,july-15-2023,11,Favorite Song,Toosii,13,11
1651,july-15-2023,12,Waffle House,Jonas Brothers,12,12
1652,july-15-2023,13,Cupid,FIFTY FIFTY,7,13
1653,july-15-2023,14,Jaded,Miley Cyrus,10,14
1654,july-15-2023,15,Die For You,The Weeknd,41,1
1655,july-15-2023,16,Snooze,SZA,8,16
1656,july-15-2023,17,Baby Don't Hurt Me,David Guetta & Anne-Marie & Coi Leray,10,16
1657,july-15-2023,18,HAPPY,NF,11,13
1658,july-15-2023,19,Mourning,Post Malone,7,19
1659,july-15-2023,20,TRUSTFALL,P!nk,12,19
1660,july-15-2023,21,Fast Car,Luke Combs,7,21
1661,july-15-2023,22,Cruel Summer,Taylor Swift,2,22
1662,july-15-2023,23,Praising You (feat. Fatboy Slim),,8,22
1663,july-15-2023,24,Boy's a liar,PinkPantheress,19,6
1664,july-15-2023,25,All My Life,Lil Durk feat. J. Cole,3,25
1665,july-15-2023,26,VOID,Melanie Martinez,7,24
1666,july-15-2023,27,Satellite,Harry Styles,5,25
1667,july-15-2023,28,Lavender Haze,Taylor Swift,30,5
1668,july-15-2023,29,Hell N Back,Bakar,4,29
1669,july-15-2023,30,Players,Coi Leray,23,8
1670,july-15-2023,31,JUMPIN,Pitbull & Lil Jon,4,27
1671,july-15-2023,32,What A Night,Flo Rida,4,32
1672,july-15-2023,33,Popular,"The Weeknd, Playboi Carti & Madonna",1,33
1673,july-15-2023,34,Escapism.,RAYE feat. 070 Shake,24,6
1674,july-15-2023,35,Summer Baby,Jonas Brothers,3,35
1675,july-15-2023,36,I know it won't work,Gracie Abrams,3,36
1676,july-15-2023,37,Unholy,Sam Smith & Kim Petras,37,1
1677,july-15-2023,38,Angel Pt. 1,"Jimin feat. Kodak Black, NLE Choppa, JVKE, Muni Long",1,38
1678,july-15-2023,39,I'm Good (Blue),David Guetta & Bebe Rexha,40,1
1679,july-15-2023,40,RUNAWAY,OneRepublic,1,40
1680,july-8-2023,1,Sure Thing,Miguel,17,1
1681,july-8-2023,2,Calm Down,Rema & Selena Gomez,31,1
1682,july-8-2023,3,Karma,Taylor Swift,8,3
1683,july-8-2023,4,Flowers,Miley Cyrus,23,1
1684,july-8-2023,5,Creepin',"Metro Boomin, The Weeknd & 21 Savage",26,2
1685,july-8-2023,6,Chemical,Post Malone,10,6
1686,july-8-2023,7,Last Night,Morgan Wallen,16,7
1687,july-8-2023,8,Kill Bill,SZA,24,1
1688,july-8-2023,9,Eyes Closed,Ed Sheeran,13,8
1689,july-8-2023,10,Dance The Night (From Barbie The Album),Dua Lipa,4,10
1690,july-8-2023,11,Favorite Song,Toosii,12,11
1691,july-8-2023,12,Die For You,The Weeknd,40,1
1692,july-8-2023,13,Waffle House,Jonas Brothers,11,13
1693,july-8-2023,14,Cupid,FIFTY FIFTY,6,14
1694,july-8-2023,15,Jaded,Miley Cyrus,9,15
1695,july-8-2023,16,Baby Don't Hurt Me,David Guetta & Anne-Marie & Coi Leray,9,16
1696,july-8-2023,17,HAPPY,NF,10,13
1697,july-8-2023,18,Snooze,SZA,7,18
1698,july-8-2023,19,Mourning,Post Malone,6,19
1699,july-8-2023,20,TRUSTFALL,P!nk,11,19
1700,july-8-2023,21,Fast Car,Luke Combs,6,21
1701,july-8-2023,22,Boy's a liar,PinkPantheress,18,6
1702,july-8-2023,23,Praising You (feat. Fatboy Slim),,7,22
1703,july-8-2023,24,VOID,Melanie Martinez,6,24
1704,july-8-2023,25,Satellite,Harry Styles,4,25
1705,july-8-2023,26,Lavender Haze,Taylor Swift,29,5
1706,july-8-2023,27,JUMPIN,Pitbull & Lil Jon,3,27
1707,july-8-2023,28,Players,Coi Leray,22,8
1708,july-8-2023,29,Hell N Back,Bakar,3,29
1709,july-8-2023,30,All My Life,Lil Durk feat. J. Cole,2,30
1710,july-8-2023,31,Alone,Kim Petras feat. Nicki Minaj,8,25
1711,july-8-2023,32,What A Night,Flo Rida,3,32
1712,july-8-2023,33,Escapism.,RAYE feat. 070 Shake,23,6
1713,july-8-2023,34,Cruel Summer,Taylor Swift,1,34
1714,july-8-2023,35,Unholy,Sam Smith & Kim Petras,36,1
1715,july-8-2023,36,Summer Baby,Jonas Brothers,2,36
1716,july-8-2023,37,I know it won't work,Gracie Abrams,2,37
1717,july-8-2023,38,I'm Good (Blue),David Guetta & Bebe Rexha,39,1
1718,july-8-2023,39,Wish You The Best,Lewis Capaldi,7,32
1719,july-8-2023,40,Anti-Hero,Taylor Swift,32,1
1720,july-1-2023,1,Sure Thing,Miguel,16,1
1721,july-1-2023,2,Calm Down,Rema & Selena Gomez,30,1
1722,july-1-2023,3,Flowers,Miley Cyrus,22,1
1723,july-1-2023,4,Karma,Taylor Swift,7,4
1724,july-1-2023,5,Creepin',"Metro Boomin, The Weeknd & 21 Savage",25,2
1725,july-1-2023,6,Kill Bill,SZA,23,1
1726,july-1-2023,7,Chemical,Post Malone,9,6
1727,july-1-2023,8,Last Night,Morgan Wallen,15,8
1728,july-1-2023,9,Eyes Closed,Ed Sheeran,12,8
1729,july-1-2023,10,Die For You,The Weeknd,39,1
1730,july-1-2023,11,Dance The Night (From Barbie The Album),Dua Lipa,3,11
1731,july-1-2023,12,Favorite Song,Toosii,11,11
1732,july-1-2023,13,Waffle House,Jonas Brothers,10,13
1733,july-1-2023,14,Cupid,FIFTY FIFTY,5,14
1734,july-1-2023,15,Boy's a liar,PinkPantheress,17,6
1735,july-1-2023,16,Jaded,Miley Cyrus,8,16
1736,july-1-2023,17,Baby Don't Hurt Me,David Guetta & Anne-Marie & Coi Leray,8,17
1737,july-1-2023,18,HAPPY,NF,9,13
1738,july-1-2023,19,TRUSTFALL,P!nk,10,19
1739,july-1-2023,20,Snooze,SZA,6,20
1740,july-1-2023,21,Mourning,Post Malone,5,21
1741,july-1-2023,22,Praising You (feat. Fatboy Slim),,6,22
1742,july-1-2023,23,Fast Car,Luke Combs,5,23
1743,july-1-2023,24,Lavender Haze,Taylor Swift,28,5
1744,july-1-2023,25,Alone,Kim Petras feat. Nicki Minaj,7,25
1745,july-1-2023,26,Players,Coi Leray,21,8
1746,july-1-2023,27,VOID,Melanie Martinez,5,27
1747,july-1-2023,28,Satellite,Harry Styles,3,28
1748,july-1-2023,29,JUMPIN,Pitbull & Lil Jon,2,29
1749,july-1-2023,30,Escapism.,RAYE feat. 070 Shake,22,6
1750,july-1-2023,31,Hell N Back,Bakar,2,31
1751,july-1-2023,32,Unholy,Sam Smith & Kim Petras,35,1
1752,july-1-2023,33,What A Night,Flo Rida,2,33
1753,july-1-2023,34,Wish You The Best,Lewis Capaldi,6,32
1754,july-1-2023,35,I'm Good (Blue),David Guetta & Bebe Rexha,38,1
1755,july-1-2023,36,All My Life,Lil Durk feat. J. Cole,1,36
1756,july-1-2023,37,I know it won't work,Gracie Abrams,1,37
1757,july-1-2023,38,Under The Influence,Chris Brown,31,9
1758,july-1-2023,39,Summer Baby,Jonas Brothers,1,39
1759,july-1-2023,40,Anti-Hero,Taylor Swift,31,1
1760,june-24-2023,1,Sure Thing,Miguel,15,1
1761,june-24-2023,2,Calm Down,Rema & Selena Gomez,29,1
1762,june-24-2023,3,Flowers,Miley Cyrus,21,1
1763,june-24-2023,4,Creepin',"Metro Boomin, The Weeknd & 21 Savage",24,2
1764,june-24-2023,5,Kill Bill,SZA,22,1
1765,june-24-2023,6,Chemical,Post Malone,8,6
1766,june-24-2023,7,Karma,Taylor Swift,6,7
1767,june-24-2023,8,Die For You,The Weeknd,38,1
1768,june-24-2023,9,Last Night,Morgan Wallen,14,9
1769,june-24-2023,10,Eyes Closed,Ed Sheeran,11,8
1770,june-24-2023,11,Favorite Song,Toosii,10,11
1771,june-24-2023,12,Dance The Night (From Barbie The Album),Dua Lipa,2,12
1772,june-24-2023,13,Boy's a liar,PinkPantheress,16,6
1773,june-24-2023,14,HAPPY,NF,8,13
1774,june-24-2023,15,Waffle House,Jonas Brothers,9,13
1775,june-24-2023,16,Jaded,Miley Cyrus,7,16
1776,june-24-2023,17,Cupid,FIFTY FIFTY,4,17
1777,june-24-2023,18,Baby Don't Hurt Me,David Guetta & Anne-Marie & Coi Leray,7,18
1778,june-24-2023,19,Players,Coi Leray,20,8
1779,june-24-2023,20,TRUSTFALL,P!nk,9,19
1780,june-24-2023,21,Snooze,SZA,5,21
1781,june-24-2023,22,Mourning,Post Malone,4,22
1782,june-24-2023,23,Lavender Haze,Taylor Swift,27,5
1783,june-24-2023,24,Praising You (feat. Fatboy Slim),,5,24
1784,june-24-2023,25,Alone,Kim Petras feat. Nicki Minaj,6,25
1785,june-24-2023,26,Escapism.,RAYE feat. 070 Shake,21,6
1786,june-24-2023,27,Fast Car,Luke Combs,4,27
1787,june-24-2023,28,VOID,Melanie Martinez,4,28
1788,june-24-2023,29,Satellite,Harry Styles,2,29
1789,june-24-2023,30,JUMPIN,Pitbull & Lil Jon,1,30
1790,june-24-2023,31,Unholy,Sam Smith & Kim Petras,34,1
1791,june-24-2023,32,Wish You The Best,Lewis Capaldi,5,32
1792,june-24-2023,33,I'm Good (Blue),David Guetta & Bebe Rexha,37,1
1793,june-24-2023,34,Thank God,Kane Brown & Katelyn Brown,19,13
1794,june-24-2023,35,That’s Not How This Works (feat. Dan + Shay),Charlie Puth,6,33
1795,june-24-2023,36,Nonsense,Sabrina Carpenter,20,10
1796,june-24-2023,37,Under The Influence,Chris Brown,30,9
1797,june-24-2023,38,Hell N Back,Bakar,1,38
1798,june-24-2023,39,Anti-Hero,Taylor Swift,30,1
1799,june-24-2023,40,What A Night,Flo Rida,1,40
1800,june-17-2023,1,Sure Thing,Miguel,14,1
1801,june-17-2023,2,Flowers,Miley Cyrus,20,1
1802,june-17-2023,3,Calm Down,Rema & Selena Gomez,28,1
1803,june-17-2023,4,Creepin',"Metro Boomin, The Weeknd & 21 Savage",23,2
1804,june-17-2023,5,Kill Bill,SZA,21,1
1805,june-17-2023,6,Chemical,Post Malone,7,6
1806,june-17-2023,7,Die For You,The Weeknd,37,1
1807,june-17-2023,8,Karma,Taylor Swift,5,8
1808,june-17-2023,9,Last Night,Morgan Wallen,13,9
1809,june-17-2023,10,Eyes Closed,Ed Sheeran,10,8
1810,june-17-2023,11,Favorite Song,Toosii,9,11
1811,june-17-2023,12,Boy's a liar,PinkPantheress,15,6
1812,june-17-2023,13,HAPPY,NF,7,13
1813,june-17-2023,14,Waffle House,Jonas Brothers,8,13
1814,june-17-2023,15,Dance The Night (From Barbie The Album),Dua Lipa,1,15
1815,june-17-2023,16,Players,Coi Leray,19,8
1816,june-17-2023,17,Jaded,Miley Cyrus,6,17
1817,june-17-2023,18,Baby Don't Hurt Me,David Guetta & Anne-Marie & Coi Leray,6,18
1818,june-17-2023,19,TRUSTFALL,P!nk,8,19
1819,june-17-2023,20,Cupid,FIFTY FIFTY,3,20
1820,june-17-2023,21,Lavender Haze,Taylor Swift,26,5
1821,june-17-2023,22,Snooze,SZA,4,22
1822,june-17-2023,23,Nonsense,Sabrina Carpenter,19,10
1823,june-17-2023,24,Escapism.,RAYE feat. 070 Shake,20,6
1824,june-17-2023,25,Mourning,Post Malone,3,25
1825,june-17-2023,26,Praising You (feat. Fatboy Slim),,4,26
1826,june-17-2023,27,Alone,Kim Petras feat. Nicki Minaj,5,27
1827,june-17-2023,28,Unholy,Sam Smith & Kim Petras,33,1
1828,june-17-2023,29,Thank God,Kane Brown & Katelyn Brown,18,13
1829,june-17-2023,30,Double Fantasy,The Weeknd & Future,6,16
1830,june-17-2023,31,VOID,Melanie Martinez,3,31
1831,june-17-2023,32,I'm Good (Blue),David Guetta & Bebe Rexha,36,1
1832,june-17-2023,33,Mother,Meghan Trainor,10,21
1833,june-17-2023,34,Fast Car,Luke Combs,3,34
1834,june-17-2023,35,That’s Not How This Works (feat. Dan + Shay),Charlie Puth,5,33
1835,june-17-2023,36,Under The Influence,Chris Brown,29,9
1836,june-17-2023,37,Wish You The Best,Lewis Capaldi,4,35
1837,june-17-2023,38,Anti-Hero,Taylor Swift,29,1
1838,june-17-2023,39,Satellite,Harry Styles,1,39
1839,june-17-2023,40,Super Freaky Girl,Nicki Minaj,38,3
1840,june-10-2023,1,Sure Thing,Miguel,13,1
1841,june-10-2023,2,Flowers,Miley Cyrus,19,1
1842,june-10-2023,3,Calm Down,Rema & Selena Gomez,27,1
1843,june-10-2023,4,Creepin',"Metro Boomin, The Weeknd & 21 Savage",22,2
1844,june-10-2023,5,Kill Bill,SZA,20,1
1845,june-10-2023,6,Die For You,The Weeknd,36,1
1846,june-10-2023,7,Chemical,Post Malone,6,6
1847,june-10-2023,8,Eyes Closed,Ed Sheeran,9,8
1848,june-10-2023,9,Last Night,Morgan Wallen,12,9
1849,june-10-2023,10,Boy's a liar,PinkPantheress,14,6
1850,june-10-2023,11,Karma,Taylor Swift,4,11
1851,june-10-2023,12,Favorite Song,Toosii,8,12
1852,june-10-2023,13,Waffle House,Jonas Brothers,7,13
1853,june-10-2023,14,Nonsense,Sabrina Carpenter,18,10
1854,june-10-2023,15,Players,Coi Leray,18,8
1855,june-10-2023,16,Double Fantasy,The Weeknd & Future,5,16
1856,june-10-2023,17,HAPPY,NF,6,17
1857,june-10-2023,18,Thank God,Kane Brown & Katelyn Brown,17,13
1858,june-10-2023,19,Jaded,Miley Cyrus,5,19
1859,june-10-2023,20,Lavender Haze,Taylor Swift,25,5
1860,june-10-2023,21,Baby Don't Hurt Me,David Guetta & Anne-Marie & Coi Leray,5,21
1861,june-10-2023,22,Mother,Meghan Trainor,9,21
1862,june-10-2023,23,Escapism.,RAYE feat. 070 Shake,19,6
1863,june-10-2023,24,TRUSTFALL,P!nk,7,24
1864,june-10-2023,25,Cupid,FIFTY FIFTY,2,25
1865,june-10-2023,26,Unholy,Sam Smith & Kim Petras,32,1
1866,june-10-2023,27,Snooze,SZA,3,27
1867,june-10-2023,28,Alone,Kim Petras feat. Nicki Minaj,4,28
1868,june-10-2023,29,I'm Good (Blue),David Guetta & Bebe Rexha,35,1
1869,june-10-2023,30,ceilings,Lizzy McAlpine,4,29
1870,june-10-2023,31,Praising You (feat. Fatboy Slim),,3,31
1871,june-10-2023,32,Under The Influence,Chris Brown,28,9
1872,june-10-2023,33,LEFT RIGHT,XG,9,28
1873,june-10-2023,34,That’s Not How This Works (feat. Dan + Shay),Charlie Puth,4,33
1874,june-10-2023,35,Wish You The Best,Lewis Capaldi,3,35
1875,june-10-2023,36,Fast Car,Luke Combs,2,36
1876,june-10-2023,37,Anti-Hero,Taylor Swift,28,1
1877,june-10-2023,38,VOID,Melanie Martinez,2,38
1878,june-10-2023,39,Mourning,Post Malone,1,39
1879,june-10-2023,40,Super Freaky Girl,Nicki Minaj,37,3
1880,june-10-2023,41,Mourning,Post Malone,2,39
1881,june-3-2023,1,Sure Thing,Miguel,12,1
1882,june-3-2023,2,Calm Down,Rema & Selena Gomez,26,1
1883,june-3-2023,3,Flowers,Miley Cyrus,18,1
1884,june-3-2023,4,Creepin',"Metro Boomin, The Weeknd & 21 Savage",21,2
1885,june-3-2023,5,Kill Bill,SZA,19,1
1886,june-3-2023,6,Chemical,Post Malone,5,6
1887,june-3-2023,7,Die For You,The Weeknd,35,1
1888,june-3-2023,8,Eyes Closed,Ed Sheeran,8,8
1889,june-3-2023,9,Boy's a liar,PinkPantheress,13,6
1890,june-3-2023,10,Nonsense,Sabrina Carpenter,17,10
1891,june-3-2023,11,Last Night,Morgan Wallen,11,11
1892,june-3-2023,12,Karma,Taylor Swift,3,12
1893,june-3-2023,13,Players,Coi Leray,17,8
1894,june-3-2023,14,Waffle House,Jonas Brothers,6,14
1895,june-3-2023,15,Thank God,Kane Brown & Katelyn Brown,16,13
1896,june-3-2023,16,Favorite Song,Toosii,7,16
1897,june-3-2023,17,Double Fantasy,The Weeknd & Future,4,17
1898,june-3-2023,18,HAPPY,NF,5,18
1899,june-3-2023,19,Lavender Haze,Taylor Swift,24,5
1900,june-3-2023,20,Jaded,Miley Cyrus,4,20
1901,june-3-2023,21,Mother,Meghan Trainor,8,21
1902,june-3-2023,22,Escapism.,RAYE feat. 070 Shake,18,6
1903,june-3-2023,23,Baby Don't Hurt Me,David Guetta & Anne-Marie & Coi Leray,4,23
1904,june-3-2023,24,Cinderella Snapped,Jax,9,24
1905,june-3-2023,25,Unholy,Sam Smith & Kim Petras,31,1
1906,june-3-2023,26,TRUSTFALL,P!nk,6,26
1907,june-3-2023,27,I'm Good (Blue),David Guetta & Bebe Rexha,34,1
1908,june-3-2023,28,LEFT RIGHT,XG,8,28
1909,june-3-2023,29,ceilings,Lizzy McAlpine,3,29
